In / Out of New Methodology Implemented,In / Out of New Processing Implemented,Measure Names,Year,Measure Values
Out,Out,Hispanic Men,2005,"38,590"
Out,Out,"White, non-Hispanic Women",2005,"49,180"
Out,Out,"White, non-Hispanic Men",2005,"66,940"
Out,Out,Total Women,2006,"45,550"
Out,Out,Total Men,2006,"59,200"
Out,Out,White Women,2006,"47,300"
Out,Out,White Men,2006,"61,850"
Out,Out,Black Women,2006,"42,520"
Out,Out,Black Men,2006,"48,710"
Out,Out,Asian Women,2006,"55,070"
Out,Out,Asian Men,2006,"72,060"
Out,Out,Hispanic Women,2006,"35,300"
Out,Out,Hispanic Men,2006,"40,710"
Out,Out,"White, non-Hispanic Women",2006,"50,060"
Out,Out,"White, non-Hispanic Men",2006,"67,830"
Out,Out,Total Women,2007,"47,940"
Out,Out,Total Men,2007,"61,620"
Out,Out,White Women,2007,"48,540"
Out,Out,White Men,2007,"62,840"
Out,Out,Black Women,2007,"42,350"
Out,Out,Black Men,2007,"49,260"
Out,Out,Asian Women,2007,"55,140"
Out,Out,Asian Men,2007,"69,260"
Out,Out,Hispanic Women,2007,"36,350"
Out,Out,Hispanic Men,2007,"41,250"
Out,Out,"White, non-Hispanic Women",2007,"50,190"
Out,Out,"White, non-Hispanic Men",2007,"68,740"
Out,Out,Total Women,2008,"47,100"
Out,Out,Total Men,2008,"61,090"
Out,Out,White Women,2008,"47,690"
Out,Out,White Men,2008,"62,410"
Out,Out,Black Women,2008,"41,490"
Out,Out,Black Men,2008,"49,160"
Out,Out,Asian Women,2008,"55,620"
Out,Out,Asian Men,2008,"67,640"
Out,Out,Hispanic Women,2008,"35,370"
Out,Out,Hispanic Men,2008,"40,790"
Out,Out,"White, non-Hispanic Women",2008,"49,260"
Out,Out,"White, non-Hispanic Men",2008,"67,520"
Out,Out,Total Women,2009,"47,990"
Out,Out,Total Men,2009,"62,340"
Out,Out,White Women,2009,"48,570"
Out,Out,White Men,2009,"64,410"
Out,Out,Black Women,2009,"42,100"
Out,Out,Black Men,2009,"49,600"
Out,Out,Asian Women,2009,"56,000"
Out,Out,Asian Men,2009,"68,470"
Out,Out,Hispanic Women,2009,"35,960"
Out,Out,Hispanic Men,2009,"41,530"
Out,Out,"White, non-Hispanic Women",2009,"50,970"
Out,Out,"White, non-Hispanic Men",2009,"68,000"
Out,Out,Total Women,2010,"48,140"
Out,Out,Total Men,2010,"62,570"
Out,Out,White Women,2010,"48,770"
Out,Out,White Men,2010,"65,490"
Out,Out,Black Women,2010,"42,150"
Out,Out,Black Men,2010,"48,080"
Out,Out,Asian Women,2010,"53,870"
Out,Out,Asian Men,2010,"67,490"
Out,Out,Hispanic Women,2010,"36,780"
Out,Out,Hispanic Men,2010,"41,210"
Out,Out,"White, non-Hispanic Women",2010,"52,570"
Out,Out,"White, non-Hispanic Men",2010,"67,800"
Out,Out,Total Women,2011,"46,980"
Out,Out,Total Men,2011,"61,010"
Out,Out,White Women,2011,"47,740"
Out,Out,White Men,2011,"63,370"
Out,Out,Black Women,2011,"42,400"
Out,Out,Black Men,2011,"49,970"
Out,Out,Asian Women,2011,"51,740"
Out,Out,Asian Men,2011,"69,710"
Out,Out,Hispanic Women,2011,"36,730"
Out,Out,Hispanic Men,2011,"40,300"
Out,Out,"White, non-Hispanic Women",2011,"51,050"
Out,Out,"White, non-Hispanic Men",2011,"66,220"
Out,Out,Total Women,2012,"46,920"
Out,Out,Total Men,2012,"61,340"
Out,Out,White Women,2012,"48,440"
Out,Out,White Men,2012,"62,600"
Out,Out,Black Women,2012,"42,070"
Out,Out,Black Men,2012,"47,820"
Out,Out,Asian Women,2012,"56,600"
Out,Out,Asian Men,2012,"72,900"
Out,Out,Hispanic Women,2012,"35,290"
Out,Out,Hispanic Men,2012,"40,040"
Out,Out,"White, non-Hispanic Women",2012,"50,800"
Out,Out,"White, non-Hispanic Men",2012,"65,230"
Out,Out,Total Women,2013,"48,040"
Out,Out,Total Men,2013,"61,380"
Out,Out,White Women,2013,"49,380"
Out,Out,White Men,2013,"62,000"
Out,Out,Black Women,2013,"41,820"
Out,Out,Black Men,2013,"50,130"
Out,Out,Asian Women,2013,"51,940"
Out,Out,Asian Men,2013,"70,700"
Out,Out,Hispanic Women,2013,"37,060"
Out,Out,Hispanic Men,2013,"39,650"
Out,Out,"White, non-Hispanic Women",2013,"50,790"
Out,Out,"White, non-Hispanic Men",2013,"65,620"
