State,Years,Percentage,Race
Pennsylvania,2021,29.30%,Black Alone
Pennsylvania,2020,28.20%,Black Alone
Pennsylvania,2019,31.00%,Black Alone
Pennsylvania,2018,26.80%,Black Alone
Pennsylvania,2017,25.70%,Black Alone
Pennsylvania,2016,23.00%,Black Alone
Pennsylvania,2015,31.60%,Black Alone
Rhode Island,2022,18.90%,Black Alone
Rhode Island,2021,19.10%,Black Alone
Rhode Island,2020,17.80%,Black Alone
Rhode Island,2019,18.20%,Black Alone
Rhode Island,2018,17.30%,Black Alone
Rhode Island,2017,17.30%,Black Alone
Rhode Island,2016,17.30%,Black Alone
Rhode Island,2015,14.20%,Black Alone
South Carolina,2022,22.50%,Black Alone
South Carolina,2021,20.50%,Black Alone
South Carolina,2020,24.00%,Black Alone
South Carolina,2019,22.20%,Black Alone
South Carolina,2018,21.50%,Black Alone
South Carolina,2017,24.40%,Black Alone
South Carolina,2016,21.40%,Black Alone
South Carolina,2015,17.70%,Black Alone
South Dakota,2022,14.50%,Black Alone
South Dakota,2021,17.00%,Black Alone
South Dakota,2020,13.00%,Black Alone
South Dakota,2019,14.20%,Black Alone
South Dakota,2018,12.30%,Black Alone
South Dakota,2017,11.00%,Black Alone
South Dakota,2016,12.50%,Black Alone
South Dakota,2015,11.30%,Black Alone
Tennessee,2022,13.50%,Black Alone
Tennessee,2021,17.70%,Black Alone
Tennessee,2020,19.10%,Black Alone
Tennessee,2019,17.70%,Black Alone
Tennessee,2018,15.50%,Black Alone
Tennessee,2017,12.30%,Black Alone
Tennessee,2016,18.60%,Black Alone
Tennessee,2015,16.70%,Black Alone
Texas,2022,19.90%,Black Alone
Texas,2021,18.20%,Black Alone
Texas,2020,17.20%,Black Alone
Texas,2019,17.00%,Black Alone
Texas,2018,17.50%,Black Alone
Texas,2017,15.40%,Black Alone
Texas,2016,15.70%,Black Alone
Texas,2015,15.30%,Black Alone
Utah,2022,25.60%,Black Alone
Utah,2021,25.80%,Black Alone
Utah,2020,22.80%,Black Alone
Utah,2019,23.60%,Black Alone
Utah,2018,22.80%,Black Alone
Utah,2017,20.90%,Black Alone
Utah,2016,20.70%,Black Alone
Utah,2015,20.10%,Black Alone
Vermont,2022,29.70%,Black Alone
Vermont,2021,31.10%,Black Alone
Vermont,2020,25.00%,Black Alone
Vermont,2019,17.60%,Black Alone
Vermont,2018,17.90%,Black Alone
Vermont,2017,32.80%,Black Alone
Vermont,2016,22.20%,Black Alone
Vermont,2015,29.50%,Black Alone
Virginia,2022,34.00%,Black Alone
Virginia,2021,38.30%,Black Alone
Virginia,2020,30.20%,Black Alone
Virginia,2019,21.20%,Black Alone
Virginia,2018,38.20%,Black Alone
Virginia,2017,39.70%,Black Alone
Virginia,2016,32.10%,Black Alone
Virginia,2015,46.60%,Black Alone
Washington,2022,25.90%,Black Alone
Washington,2021,24.90%,Black Alone
Washington,2020,22.30%,Black Alone
Washington,2019,21.50%,Black Alone
Washington,2018,21.20%,Black Alone
Washington,2017,22.40%,Black Alone
Washington,2016,20.90%,Black Alone
Washington,2015,20.90%,Black Alone
West Virginia,2022,26.80%,Black Alone
West Virginia,2021,25.30%,Black Alone
West Virginia,2020,26.70%,Black Alone
West Virginia,2019,23.90%,Black Alone
West Virginia,2018,27.60%,Black Alone
West Virginia,2017,26.60%,Black Alone
West Virginia,2016,25.40%,Black Alone
West Virginia,2015,23.30%,Black Alone
Wisconsin,2022,15.30%,Black Alone
Wisconsin,2021,14.00%,Black Alone
Wisconsin,2020,14.80%,Black Alone
Wisconsin,2019,11.20%,Black Alone
Wisconsin,2018,9.70%,Black Alone
Wisconsin,2017,15.80%,Black Alone
Wisconsin,2016,16.00%,Black Alone
Wisconsin,2015,11.20%,Black Alone
Wyoming,2022,13.20%,Black Alone
Wyoming,2021,15.10%,Black Alone
Wyoming,2020,12.20%,Black Alone
Wyoming,2019,12.10%,Black Alone
Wyoming,2018,11.80%,Black Alone
Wyoming,2017,10.90%,Black Alone
Wyoming,2016,11.80%,Black Alone
Wyoming,2015,10.70%,Black Alone
Puerto Rico,2022,47.10%,Black Alone
Puerto Rico,2021,N,Black Alone
Puerto Rico,2020,38.20%,Black Alone
Puerto Rico,2019,64.20%,Black Alone
Puerto Rico,2018,28.20%,Black Alone
Puerto Rico,2017,N,Black Alone
Puerto Rico,2016,N,Black Alone
Puerto Rico,2015,20.20%,Black Alone
Alabama,2022,16.10%,"American   
                Indian or Alaska Native Alone"
Alabama,2021,19.10%,"American   
                Indian or Alaska Native Alone"
Alabama,2020,15.70%,"American   
                Indian or Alaska Native Alone"
Alabama,2019,10.90%,"American   
                Indian or Alaska Native Alone"
Alabama,2018,18.50%,"American   
                Indian or Alaska Native Alone"
Alabama,2017,10.30%,"American   
                Indian or Alaska Native Alone"
Alabama,2016,19.60%,"American   
                Indian or Alaska Native Alone"
Alabama,2015,17.50%,"American   
                Indian or Alaska Native Alone"
Alaska,2022,5.00%,"American   
                Indian or Alaska Native Alone"
Alaska,2021,4.00%,"American   
                Indian or Alaska Native Alone"
Alaska,2020,5.90%,"American   
                Indian or Alaska Native Alone"
Alaska,2019,7.00%,"American   
                Indian or Alaska Native Alone"
Alaska,2018,4.70%,"American   
                Indian or Alaska Native Alone"
Alaska,2017,6.70%,"American   
                Indian or Alaska Native Alone"
Alaska,2016,6.30%,"American   
                Indian or Alaska Native Alone"
Alaska,2015,5.30%,"American   
                Indian or Alaska Native Alone"
Arizona,2022,11.30%,"American   
                Indian or Alaska Native Alone"
Arizona,2021,8.00%,"American   
                Indian or Alaska Native Alone"
Arizona,2020,9.00%,"American   
                Indian or Alaska Native Alone"
Arizona,2019,9.20%,"American   
                Indian or Alaska Native Alone"
Arizona,2018,7.40%,"American   
                Indian or Alaska Native Alone"
Arizona,2017,7.80%,"American   
                Indian or Alaska Native Alone"
Arizona,2016,8.90%,"American   
                Indian or Alaska Native Alone"
Arizona,2015,9.30%,"American   
                Indian or Alaska Native Alone"
Arkansas,2022,20.50%,"American   
                Indian or Alaska Native Alone"
Arkansas,2021,22.00%,"American   
                Indian or Alaska Native Alone"
Arkansas,2020,17.40%,"American   
                Indian or Alaska Native Alone"
Arkansas,2019,13.20%,"American   
                Indian or Alaska Native Alone"
Arkansas,2018,21.90%,"American   
                Indian or Alaska Native Alone"
Arkansas,2017,9.90%,"American   
                Indian or Alaska Native Alone"
Arkansas,2016,21.60%,"American   
                Indian or Alaska Native Alone"
Arkansas,2015,20.10%,"American   
                Indian or Alaska Native Alone"
California,2022,15.40%,"American   
                Indian or Alaska Native Alone"
California,2021,15.40%,"American   
                Indian or Alaska Native Alone"
California,2020,13.60%,"American   
                Indian or Alaska Native Alone"
California,2019,15.00%,"American   
                Indian or Alaska Native Alone"
California,2018,14.30%,"American   
                Indian or Alaska Native Alone"
California,2017,12.50%,"American   
                Indian or Alaska Native Alone"
California,2016,13.60%,"American   
                Indian or Alaska Native Alone"
California,2015,14.20%,"American   
                Indian or Alaska Native Alone"
Colorado,2022,23.30%,"American   
                Indian or Alaska Native Alone"
Colorado,2021,15.70%,"American   
                Indian or Alaska Native Alone"
Colorado,2020,16.80%,"American   
                Indian or Alaska Native Alone"
Colorado,2019,20.00%,"American   
                Indian or Alaska Native Alone"
Colorado,2018,15.20%,"American   
                Indian or Alaska Native Alone"
Colorado,2017,13.20%,"American   
                Indian or Alaska Native Alone"
Colorado,2016,16.70%,"American   
                Indian or Alaska Native Alone"
Colorado,2015,14.70%,"American   
                Indian or Alaska Native Alone"
Connecticut,2022,7.60%,"American   
                Indian or Alaska Native Alone"
Connecticut,2021,31.10%,"American   
                Indian or Alaska Native Alone"
Connecticut,2020,18.00%,"American   
                Indian or Alaska Native Alone"
Connecticut,2019,15.00%,"American   
                Indian or Alaska Native Alone"
Connecticut,2018,17.70%,"American   
                Indian or Alaska Native Alone"
Connecticut,2017,26.60%,"American   
                Indian or Alaska Native Alone"
Connecticut,2016,8.80%,"American   
                Indian or Alaska Native Alone"
Connecticut,2015,13.90%,"American   
                Indian or Alaska Native Alone"
Delaware,2022,12.50%,"American   
                Indian or Alaska Native Alone"
Delaware,2021,N,"American   
                Indian or Alaska Native Alone"
Delaware,2020,20.20%,"American   
                Indian or Alaska Native Alone"
Delaware,2019,22.40%,"American   
                Indian or Alaska Native Alone"
Delaware,2018,26.30%,"American   
                Indian or Alaska Native Alone"
Delaware,2017,16.50%,"American   
                Indian or Alaska Native Alone"
Delaware,2016,24.00%,"American   
                Indian or Alaska Native Alone"
Delaware,2015,20.90%,"American   
                Indian or Alaska Native Alone"
Florida,2022,N,"American   
                Indian or Alaska Native Alone"
Florida,2021,N,"American   
                Indian or Alaska Native Alone"
Florida,2020,50.00%,"American   
                Indian or Alaska Native Alone"
Florida,2019,N,"American   
                Indian or Alaska Native Alone"
Florida,2018,N,"American   
                Indian or Alaska Native Alone"
Florida,2017,N,"American   
                Indian or Alaska Native Alone"
Florida,2016,N,"American   
                Indian or Alaska Native Alone"
Florida,2015,N,"American   
                Indian or Alaska Native Alone"
Georgia,2022,15.30%,"American   
                Indian or Alaska Native Alone"
Georgia,2021,23.30%,"American   
                Indian or Alaska Native Alone"
Georgia,2020,21.40%,"American   
                Indian or Alaska Native Alone"
Georgia,2019,23.40%,"American   
                Indian or Alaska Native Alone"
Georgia,2018,23.30%,"American   
                Indian or Alaska Native Alone"
Georgia,2017,20.80%,"American   
                Indian or Alaska Native Alone"
Georgia,2016,15.70%,"American   
                Indian or Alaska Native Alone"
Georgia,2015,20.90%,"American   
                Indian or Alaska Native Alone"
Hawaii,2022,9.50%,"American   
                Indian or Alaska Native Alone"
Hawaii,2021,18.50%,"American   
                Indian or Alaska Native Alone"
Hawaii,2020,16.00%,"American   
                Indian or Alaska Native Alone"
Hawaii,2019,15.80%,"American   
                Indian or Alaska Native Alone"
Hawaii,2018,16.80%,"American   
                Indian or Alaska Native Alone"
Hawaii,2017,17.00%,"American   
                Indian or Alaska Native Alone"
Hawaii,2016,15.00%,"American   
                Indian or Alaska Native Alone"
Hawaii,2015,20.40%,"American   
                Indian or Alaska Native Alone"
Idaho,2022,21.70%,"American   
                Indian or Alaska Native Alone"
Idaho,2021,22.30%,"American   
                Indian or Alaska Native Alone"
Idaho,2020,26.30%,"American   
                Indian or Alaska Native Alone"
Idaho,2019,9.90%,"American   
                Indian or Alaska Native Alone"
Idaho,2018,35.40%,"American   
                Indian or Alaska Native Alone"
Idaho,2017,36.30%,"American   
                Indian or Alaska Native Alone"
Idaho,2016,28.30%,"American   
                Indian or Alaska Native Alone"
Idaho,2015,10.40%,"American   
                Indian or Alaska Native Alone"
Illinois,2022,12.70%,"American   
                Indian or Alaska Native Alone"
Illinois,2021,10.20%,"American   
                Indian or Alaska Native Alone"
Illinois,2020,11.70%,"American   
                Indian or Alaska Native Alone"
Illinois,2019,11.30%,"American   
                Indian or Alaska Native Alone"
Illinois,2018,7.60%,"American   
                Indian or Alaska Native Alone"
Illinois,2017,10.20%,"American   
                Indian or Alaska Native Alone"
Illinois,2016,14.20%,"American   
                Indian or Alaska Native Alone"
Illinois,2015,3.40%,"American   
                Indian or Alaska Native Alone"
Indiana,2022,16.90%,"American   
                Indian or Alaska Native Alone"
Indiana,2021,14.80%,"American   
                Indian or Alaska Native Alone"
Indiana,2020,19.80%,"American   
                Indian or Alaska Native Alone"
Indiana,2019,24.20%,"American   
                Indian or Alaska Native Alone"
Indiana,2018,13.60%,"American   
                Indian or Alaska Native Alone"
Indiana,2017,20.40%,"American   
                Indian or Alaska Native Alone"
Indiana,2016,21.80%,"American   
                Indian or Alaska Native Alone"
Indiana,2015,12.40%,"American   
                Indian or Alaska Native Alone"
Iowa,2022,21.10%,"American   
                Indian or Alaska Native Alone"
Iowa,2021,14.90%,"American   
                Indian or Alaska Native Alone"
Iowa,2020,15.70%,"American   
                Indian or Alaska Native Alone"
Iowa,2019,14.50%,"American   
                Indian or Alaska Native Alone"
Iowa,2018,20.50%,"American   
                Indian or Alaska Native Alone"
Iowa,2017,12.50%,"American   
                Indian or Alaska Native Alone"
Iowa,2016,17.80%,"American   
                Indian or Alaska Native Alone"
Iowa,2015,16.60%,"American   
                Indian or Alaska Native Alone"
Kansas,2022,12.20%,"American   
                Indian or Alaska Native Alone"
Kansas,2021,15.00%,"American   
                Indian or Alaska Native Alone"
Kansas,2020,14.30%,"American   
                Indian or Alaska Native Alone"
Kansas,2019,5.60%,"American   
                Indian or Alaska Native Alone"
Kansas,2018,12.60%,"American   
                Indian or Alaska Native Alone"
Kansas,2017,19.00%,"American   
                Indian or Alaska Native Alone"
Kansas,2016,21.00%,"American   
                Indian or Alaska Native Alone"
Kansas,2015,12.90%,"American   
                Indian or Alaska Native Alone"
Kentucky,2022,11.40%,"American   
                Indian or Alaska Native Alone"
Kentucky,2021,12.60%,"American   
                Indian or Alaska Native Alone"
Kentucky,2020,18.90%,"American   
                Indian or Alaska Native Alone"
Kentucky,2019,18.00%,"American   
                Indian or Alaska Native Alone"
Kentucky,2018,14.60%,"American   
                Indian or Alaska Native Alone"
Kentucky,2017,17.10%,"American   
                Indian or Alaska Native Alone"
Kentucky,2016,15.70%,"American   
                Indian or Alaska Native Alone"
Kentucky,2015,17.20%,"American   
                Indian or Alaska Native Alone"
Louisiana,2022,14.20%,"American   
                Indian or Alaska Native Alone"
Louisiana,2021,12.90%,"American   
                Indian or Alaska Native Alone"
Louisiana,2020,15.40%,"American   
                Indian or Alaska Native Alone"
Louisiana,2019,23.20%,"American   
                Indian or Alaska Native Alone"
Louisiana,2018,12.00%,"American   
                Indian or Alaska Native Alone"
Louisiana,2017,8.10%,"American   
                Indian or Alaska Native Alone"
Louisiana,2016,14.70%,"American   
                Indian or Alaska Native Alone"
Louisiana,2015,15.30%,"American   
                Indian or Alaska Native Alone"
Maine,2022,5.70%,"American   
                Indian or Alaska Native Alone"
Maine,2021,7.20%,"American   
                Indian or Alaska Native Alone"
Maine,2020,12.50%,"American   
                Indian or Alaska Native Alone"
Maine,2019,17.10%,"American   
                Indian or Alaska Native Alone"
Maine,2018,13.40%,"American   
                Indian or Alaska Native Alone"
Maine,2017,7.60%,"American   
                Indian or Alaska Native Alone"
Maine,2016,9.70%,"American   
                Indian or Alaska Native Alone"
Maine,2015,10.50%,"American   
                Indian or Alaska Native Alone"
Maryland,2022,20.40%,"American   
                Indian or Alaska Native Alone"
Maryland,2021,7.50%,"American   
                Indian or Alaska Native Alone"
Maryland,2020,16.00%,"American   
                Indian or Alaska Native Alone"
Maryland,2019,25.80%,"American   
                Indian or Alaska Native Alone"
Maryland,2018,10.00%,"American   
                Indian or Alaska Native Alone"
Maryland,2017,16.70%,"American   
                Indian or Alaska Native Alone"
Maryland,2016,5.20%,"American   
                Indian or Alaska Native Alone"
Maryland,2015,15.50%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2022,21.10%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2021,17.60%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2020,17.50%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2019,19.50%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2018,28.70%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2017,12.10%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2016,14.90%,"American   
                Indian or Alaska Native Alone"
Massachusetts,2015,18.20%,"American   
                Indian or Alaska Native Alone"
Michigan,2022,25.30%,"American   
                Indian or Alaska Native Alone"
Michigan,2021,15.90%,"American   
                Indian or Alaska Native Alone"
Michigan,2020,18.90%,"American   
                Indian or Alaska Native Alone"
Michigan,2019,23.60%,"American   
                Indian or Alaska Native Alone"
Michigan,2018,10.00%,"American   
                Indian or Alaska Native Alone"
Michigan,2017,27.30%,"American   
                Indian or Alaska Native Alone"
Michigan,2016,14.20%,"American   
                Indian or Alaska Native Alone"
Michigan,2015,28.30%,"American   
                Indian or Alaska Native Alone"
Minnesota,2022,8.10%,"American   
                Indian or Alaska Native Alone"
Minnesota,2021,11.10%,"American   
                Indian or Alaska Native Alone"
Minnesota,2020,12.70%,"American   
                Indian or Alaska Native Alone"
Minnesota,2019,11.40%,"American   
                Indian or Alaska Native Alone"
Minnesota,2018,11.80%,"American   
                Indian or Alaska Native Alone"
Minnesota,2017,14.70%,"American   
                Indian or Alaska Native Alone"
Minnesota,2016,11.80%,"American   
                Indian or Alaska Native Alone"
Minnesota,2015,12.60%,"American   
                Indian or Alaska Native Alone"
Mississippi,2022,12.40%,"American   
                Indian or Alaska Native Alone"
Mississippi,2021,11.00%,"American   
                Indian or Alaska Native Alone"
Mississippi,2020,13.00%,"American   
                Indian or Alaska Native Alone"
Mississippi,2019,15.50%,"American   
                Indian or Alaska Native Alone"
Mississippi,2018,8.80%,"American   
                Indian or Alaska Native Alone"
Mississippi,2017,13.00%,"American   
                Indian or Alaska Native Alone"
Mississippi,2016,10.50%,"American   
                Indian or Alaska Native Alone"
Mississippi,2015,10.90%,"American   
                Indian or Alaska Native Alone"
Missouri,2022,3.90%,"American   
                Indian or Alaska Native Alone"
Missouri,2021,10.50%,"American   
                Indian or Alaska Native Alone"
Missouri,2020,12.90%,"American   
                Indian or Alaska Native Alone"
Missouri,2019,7.70%,"American   
                Indian or Alaska Native Alone"
Missouri,2018,11.10%,"American   
                Indian or Alaska Native Alone"
Missouri,2017,25.30%,"American   
                Indian or Alaska Native Alone"
Missouri,2016,10.70%,"American   
                Indian or Alaska Native Alone"
Missouri,2015,13.20%,"American   
                Indian or Alaska Native Alone"
Montana,2022,13.90%,"American   
                Indian or Alaska Native Alone"
Montana,2021,22.70%,"American   
                Indian or Alaska Native Alone"
Montana,2020,16.60%,"American   
                Indian or Alaska Native Alone"
Montana,2019,18.40%,"American   
                Indian or Alaska Native Alone"
Montana,2018,17.20%,"American   
                Indian or Alaska Native Alone"
Montana,2017,12.60%,"American   
                Indian or Alaska Native Alone"
Montana,2016,12.60%,"American   
                Indian or Alaska Native Alone"
Montana,2015,16.20%,"American   
                Indian or Alaska Native Alone"
Nebraska,2022,11.80%,"American   
                Indian or Alaska Native Alone"
Nebraska,2021,11.20%,"American   
                Indian or Alaska Native Alone"
Nebraska,2020,11.90%,"American   
                Indian or Alaska Native Alone"
Nebraska,2019,11.50%,"American   
                Indian or Alaska Native Alone"
Nebraska,2018,13.00%,"American   
                Indian or Alaska Native Alone"
Nebraska,2017,13.00%,"American   
                Indian or Alaska Native Alone"
Nebraska,2016,10.90%,"American   
                Indian or Alaska Native Alone"
Nebraska,2015,12.70%,"American   
                Indian or Alaska Native Alone"
Nevada,2022,14.50%,"American   
                Indian or Alaska Native Alone"
Nevada,2021,8.60%,"American   
                Indian or Alaska Native Alone"
Nevada,2020,10.70%,"American   
                Indian or Alaska Native Alone"
Nevada,2019,5.70%,"American   
                Indian or Alaska Native Alone"
Nevada,2018,13.30%,"American   
                Indian or Alaska Native Alone"
Nevada,2017,6.80%,"American   
                Indian or Alaska Native Alone"
Nevada,2016,14.20%,"American   
                Indian or Alaska Native Alone"
Nevada,2015,3.80%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2022,7.60%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2021,10.90%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2020,12.50%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2019,16.70%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2018,12.10%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2017,7.20%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2016,10.10%,"American   
                Indian or Alaska Native Alone"
New Hampshire,2015,6.50%,"American   
                Indian or Alaska Native Alone"
New Jersey,2022,N,"American   
                Indian or Alaska Native Alone"
New Jersey,2021,N,"American   
                Indian or Alaska Native Alone"
New Jersey,2020,10.90%,"American   
                Indian or Alaska Native Alone"
New Jersey,2019,N,"American   
                Indian or Alaska Native Alone"
New Jersey,2018,6.20%,"American   
                Indian or Alaska Native Alone"
New Jersey,2017,N,"American   
                Indian or Alaska Native Alone"
New Jersey,2016,N,"American   
                Indian or Alaska Native Alone"
New Jersey,2015,0.00%,"American   
                Indian or Alaska Native Alone"
New Mexico,2022,19.90%,"American   
                Indian or Alaska Native Alone"
New Mexico,2021,15.90%,"American   
                Indian or Alaska Native Alone"
New Mexico,2020,23.50%,"American   
                Indian or Alaska Native Alone"
New Mexico,2019,23.20%,"American   
                Indian or Alaska Native Alone"
New Mexico,2018,16.10%,"American   
                Indian or Alaska Native Alone"
New Mexico,2017,29.90%,"American   
                Indian or Alaska Native Alone"
New Mexico,2016,21.80%,"American   
                Indian or Alaska Native Alone"
New Mexico,2015,25.10%,"American   
                Indian or Alaska Native Alone"
New York,2022,9.30%,"American   
                Indian or Alaska Native Alone"
New York,2021,10.20%,"American   
                Indian or Alaska Native Alone"
New York,2020,8.80%,"American   
                Indian or Alaska Native Alone"
New York,2019,8.90%,"American   
                Indian or Alaska Native Alone"
New York,2018,8.40%,"American   
                Indian or Alaska Native Alone"
New York,2017,8.90%,"American   
                Indian or Alaska Native Alone"
New York,2016,10.00%,"American   
                Indian or Alaska Native Alone"
New York,2015,7.10%,"American   
                Indian or Alaska Native Alone"
North Carolina,2022,17.90%,"American   
                Indian or Alaska Native Alone"
North Carolina,2021,15.50%,"American   
                Indian or Alaska Native Alone"
North Carolina,2020,16.30%,"American   
                Indian or Alaska Native Alone"
North Carolina,2019,17.50%,"American   
                Indian or Alaska Native Alone"
North Carolina,2018,14.70%,"American   
                Indian or Alaska Native Alone"
North Carolina,2017,15.80%,"American   
                Indian or Alaska Native Alone"
North Carolina,2016,15.00%,"American   
                Indian or Alaska Native Alone"
North Carolina,2015,19.10%,"American   
                Indian or Alaska Native Alone"
North Dakota,2022,12.80%,"American   
                Indian or Alaska Native Alone"
North Dakota,2021,10.20%,"American   
                Indian or Alaska Native Alone"
North Dakota,2020,11.20%,"American   
                Indian or Alaska Native Alone"
North Dakota,2019,12.00%,"American   
                Indian or Alaska Native Alone"
North Dakota,2018,13.60%,"American   
                Indian or Alaska Native Alone"
North Dakota,2017,10.90%,"American   
                Indian or Alaska Native Alone"
North Dakota,2016,11.40%,"American   
                Indian or Alaska Native Alone"
North Dakota,2015,8.20%,"American   
                Indian or Alaska Native Alone"
Ohio,2022,9.70%,"American   
                Indian or Alaska Native Alone"
Ohio,2021,8.90%,"American   
                Indian or Alaska Native Alone"
Ohio,2020,10.50%,"American   
                Indian or Alaska Native Alone"
Ohio,2019,8.90%,"American   
                Indian or Alaska Native Alone"
Ohio,2018,10.00%,"American   
                Indian or Alaska Native Alone"
Ohio,2017,12.30%,"American   
                Indian or Alaska Native Alone"
Ohio,2016,9.10%,"American   
                Indian or Alaska Native Alone"
Ohio,2015,9.30%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2022,10.20%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2021,14.70%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2020,15.90%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2019,13.30%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2018,15.00%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2017,14.80%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2016,15.00%,"American   
                Indian or Alaska Native Alone"
Oklahoma,2015,13.40%,"American   
                Indian or Alaska Native Alone"
Oregon,2022,17.50%,"American   
                Indian or Alaska Native Alone"
Oregon,2021,17.10%,"American   
                Indian or Alaska Native Alone"
Oregon,2020,14.10%,"American   
                Indian or Alaska Native Alone"
Oregon,2019,15.60%,"American   
                Indian or Alaska Native Alone"
Oregon,2018,12.70%,"American   
                Indian or Alaska Native Alone"
Oregon,2017,13.50%,"American   
                Indian or Alaska Native Alone"
Oregon,2016,15.00%,"American   
                Indian or Alaska Native Alone"
Oregon,2015,14.20%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2022,11.00%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2021,14.10%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2020,14.90%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2019,18.80%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2018,14.10%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2017,7.10%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2016,16.90%,"American   
                Indian or Alaska Native Alone"
Pennsylvania,2015,14.60%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2022,12.60%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2021,17.50%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2020,17.90%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2019,18.30%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2018,16.40%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2017,18.20%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2016,13.60%,"American   
                Indian or Alaska Native Alone"
Rhode Island,2015,10.60%,"American   
                Indian or Alaska Native Alone"
South Carolina,2022,N,"American   
                Indian or Alaska Native Alone"
South Carolina,2021,N,"American   
                Indian or Alaska Native Alone"
South Carolina,2020,14.30%,"American   
                Indian or Alaska Native Alone"
South Carolina,2019,N,"American   
                Indian or Alaska Native Alone"
South Carolina,2018,18.30%,"American   
                Indian or Alaska Native Alone"
South Carolina,2017,34.90%,"American   
                Indian or Alaska Native Alone"
South Carolina,2016,N,"American   
                Indian or Alaska Native Alone"
South Carolina,2015,38.80%,"American   
                Indian or Alaska Native Alone"
South Dakota,2022,7.80%,"American   
                Indian or Alaska Native Alone"
South Dakota,2021,10.60%,"American   
                Indian or Alaska Native Alone"
South Dakota,2020,12.40%,"American   
                Indian or Alaska Native Alone"
South Dakota,2019,17.10%,"American   
                Indian or Alaska Native Alone"
South Dakota,2018,6.10%,"American   
                Indian or Alaska Native Alone"
South Dakota,2017,12.40%,"American   
                Indian or Alaska Native Alone"
South Dakota,2016,18.00%,"American   
                Indian or Alaska Native Alone"
South Dakota,2015,16.40%,"American   
                Indian or Alaska Native Alone"
Tennessee,2022,8.30%,"American   
                Indian or Alaska Native Alone"
Tennessee,2021,10.70%,"American   
                Indian or Alaska Native Alone"
Tennessee,2020,7.70%,"American   
                Indian or Alaska Native Alone"
Tennessee,2019,8.80%,"American   
                Indian or Alaska Native Alone"
Tennessee,2018,8.90%,"American   
                Indian or Alaska Native Alone"
Tennessee,2017,7.50%,"American   
                Indian or Alaska Native Alone"
Tennessee,2016,7.40%,"American   
                Indian or Alaska Native Alone"
Tennessee,2015,7.30%,"American   
                Indian or Alaska Native Alone"
Texas,2022,10.50%,"American   
                Indian or Alaska Native Alone"
Texas,2021,16.50%,"American   
                Indian or Alaska Native Alone"
Texas,2020,17.40%,"American   
                Indian or Alaska Native Alone"
Texas,2019,14.30%,"American   
                Indian or Alaska Native Alone"
Texas,2018,16.00%,"American   
                Indian or Alaska Native Alone"
Texas,2017,21.00%,"American   
                Indian or Alaska Native Alone"
Texas,2016,11.80%,"American   
                Indian or Alaska Native Alone"
Texas,2015,43.50%,"American   
                Indian or Alaska Native Alone"
Utah,2022,16.40%,"American   
                Indian or Alaska Native Alone"
Utah,2021,20.40%,"American   
                Indian or Alaska Native Alone"
Utah,2020,20.00%,"American   
                Indian or Alaska Native Alone"
Utah,2019,24.30%,"American   
                Indian or Alaska Native Alone"
Utah,2018,21.40%,"American   
                Indian or Alaska Native Alone"
Utah,2017,18.90%,"American   
                Indian or Alaska Native Alone"
Utah,2016,17.40%,"American   
                Indian or Alaska Native Alone"
Utah,2015,17.70%,"American   
                Indian or Alaska Native Alone"
Vermont,2022,22.00%,"American   
                Indian or Alaska Native Alone"
Vermont,2021,13.00%,"American   
                Indian or Alaska Native Alone"
Vermont,2020,11.60%,"American   
                Indian or Alaska Native Alone"
