State,Years,Male_P_Bach,Female_P_Bach,Race
Connecticut,2016,18.00%,20.80%,Black Alone
Connecticut,2015,21.20%,22.90%,Black Alone
Delaware,2022,24.80%,29.30%,Black Alone
Delaware,2021,23.00%,30.50%,Black Alone
Delaware,2020,19.90%,26.10%,Black Alone
Delaware,2019,23.90%,25.10%,Black Alone
Delaware,2018,17.40%,26.10%,Black Alone
Delaware,2017,19.00%,25.30%,Black Alone
Delaware,2016,19.60%,21.90%,Black Alone
Delaware,2015,21.30%,24.30%,Black Alone
Florida,2022,36.00%,34.10%,Black Alone
Florida,2021,33.60%,33.80%,Black Alone
Florida,2020,27.00%,30.70%,Black Alone
Florida,2019,26.00%,29.70%,Black Alone
Florida,2018,27.50%,29.60%,Black Alone
Florida,2017,26.50%,26.80%,Black Alone
Florida,2016,25.20%,25.90%,Black Alone
Florida,2015,27.90%,24.90%,Black Alone
Georgia,2022,19.90%,26.30%,Black Alone
Georgia,2021,19.10%,26.10%,Black Alone
Georgia,2020,17.00%,22.80%,Black Alone
Georgia,2019,16.50%,21.80%,Black Alone
Georgia,2018,16.80%,23.10%,Black Alone
Georgia,2017,16.20%,21.10%,Black Alone
Georgia,2016,15.50%,20.60%,Black Alone
Georgia,2015,15.10%,20.70%,Black Alone
Hawaii,2022,23.60%,31.80%,Black Alone
Hawaii,2021,23.40%,31.40%,Black Alone
Hawaii,2020,21.00%,28.40%,Black Alone
Hawaii,2019,20.70%,28.10%,Black Alone
Hawaii,2018,19.70%,27.90%,Black Alone
Hawaii,2017,19.80%,26.20%,Black Alone
Hawaii,2016,19.50%,26.50%,Black Alone
Hawaii,2015,18.80%,26.00%,Black Alone
Idaho,2022,29.90%,35.30%,Black Alone
Idaho,2021,28.60%,58.80%,Black Alone
Idaho,2020,26.80%,37.90%,Black Alone
Idaho,2019,24.70%,41.30%,Black Alone
Idaho,2018,27.60%,40.30%,Black Alone
Idaho,2017,28.90%,44.40%,Black Alone
Idaho,2016,21.10%,31.90%,Black Alone
Idaho,2015,26.60%,30.00%,Black Alone
Illinois,2022,22.90%,27.90%,Black Alone
Illinois,2021,30.20%,16.00%,Black Alone
Illinois,2020,24.40%,26.90%,Black Alone
Illinois,2019,12.40%,16.60%,Black Alone
Illinois,2018,36.50%,6.70%,Black Alone
Illinois,2017,26.50%,21.10%,Black Alone
Illinois,2016,24.40%,50.90%,Black Alone
Illinois,2015,36.10%,28.70%,Black Alone
Indiana,2022,20.60%,27.00%,Black Alone
Indiana,2021,20.40%,29.00%,Black Alone
Indiana,2020,19.90%,25.10%,Black Alone
Indiana,2019,20.10%,24.70%,Black Alone
Indiana,2018,18.80%,24.00%,Black Alone
Indiana,2017,17.90%,23.60%,Black Alone
Indiana,2016,18.50%,24.20%,Black Alone
Indiana,2015,16.80%,22.80%,Black Alone
Iowa,2022,19.80%,23.70%,Black Alone
Iowa,2021,16.90%,24.30%,Black Alone
Iowa,2020,16.20%,21.00%,Black Alone
Iowa,2019,17.00%,21.30%,Black Alone
Iowa,2018,16.10%,20.30%,Black Alone
Iowa,2017,16.70%,21.40%,Black Alone
Iowa,2016,14.40%,16.80%,Black Alone
Iowa,2015,15.40%,18.20%,Black Alone
Kansas,2022,15.60%,15.20%,Black Alone
Kansas,2021,22.20%,21.80%,Black Alone
Kansas,2020,17.60%,16.10%,Black Alone
Kansas,2019,19.00%,9.80%,Black Alone
Kansas,2018,15.70%,18.70%,Black Alone
Kansas,2017,18.10%,21.30%,Black Alone
Kansas,2016,20.80%,18.80%,Black Alone
Kansas,2015,12.80%,15.80%,Black Alone
Kentucky,2022,19.90%,26.60%,Black Alone
Kentucky,2021,22.40%,26.00%,Black Alone
Kentucky,2020,20.10%,23.10%,Black Alone
Kentucky,2019,20.20%,21.60%,Black Alone
Kentucky,2018,17.60%,20.20%,Black Alone
Kentucky,2017,17.80%,22.50%,Black Alone
Kentucky,2016,19.80%,21.10%,Black Alone
Kentucky,2015,19.80%,18.80%,Black Alone
Louisiana,2022,17.70%,21.20%,Black Alone
Louisiana,2021,15.90%,24.20%,Black Alone
Louisiana,2020,15.60%,19.80%,Black Alone
Louisiana,2019,17.70%,20.80%,Black Alone
Louisiana,2018,15.60%,18.60%,Black Alone
Louisiana,2017,16.10%,21.60%,Black Alone
Louisiana,2016,13.10%,15.90%,Black Alone
Louisiana,2015,14.10%,18.40%,Black Alone
Maine,2022,13.70%,22.30%,Black Alone
Maine,2021,12.00%,20.20%,Black Alone
Maine,2020,12.10%,20.30%,Black Alone
Maine,2019,12.90%,20.50%,Black Alone
Maine,2018,11.10%,18.70%,Black Alone
Maine,2017,10.80%,17.70%,Black Alone
Maine,2016,10.70%,18.20%,Black Alone
Maine,2015,11.40%,18.00%,Black Alone
Maryland,2022,33.20%,33.50%,Black Alone
Maryland,2021,33.90%,39.60%,Black Alone
Maryland,2020,25.60%,26.80%,Black Alone
Maryland,2019,36.40%,39.90%,Black Alone
Maryland,2018,18.60%,15.20%,Black Alone
Maryland,2017,21.30%,28.00%,Black Alone
Maryland,2016,12.40%,32.00%,Black Alone
Maryland,2015,26.00%,27.10%,Black Alone
Massachusetts,2022,31.20%,37.20%,Black Alone
Massachusetts,2021,29.40%,35.20%,Black Alone
Massachusetts,2020,27.80%,33.80%,Black Alone
Massachusetts,2019,28.00%,33.10%,Black Alone
Massachusetts,2018,27.00%,33.40%,Black Alone
Massachusetts,2017,25.90%,32.30%,Black Alone
Massachusetts,2016,27.70%,31.10%,Black Alone
Massachusetts,2015,25.20%,30.30%,Black Alone
Michigan,2022,32.70%,32.70%,Black Alone
Michigan,2021,31.40%,32.20%,Black Alone
Michigan,2020,26.30%,28.80%,Black Alone
Michigan,2019,27.50%,28.40%,Black Alone
Michigan,2018,28.30%,30.00%,Black Alone
Michigan,2017,23.60%,27.90%,Black Alone
Michigan,2016,24.60%,25.30%,Black Alone
Michigan,2015,21.40%,24.20%,Black Alone
Minnesota,2022,15.20%,21.70%,Black Alone
Minnesota,2021,15.80%,22.50%,Black Alone
Minnesota,2020,14.50%,20.80%,Black Alone
Minnesota,2019,14.80%,20.80%,Black Alone
Minnesota,2018,14.60%,20.00%,Black Alone
Minnesota,2017,13.60%,20.60%,Black Alone
Minnesota,2016,13.50%,20.00%,Black Alone
Minnesota,2015,14.10%,19.50%,Black Alone
Mississippi,2022,28.10%,24.50%,Black Alone
Mississippi,2021,26.30%,22.20%,Black Alone
Mississippi,2020,24.10%,20.20%,Black Alone
Mississippi,2019,22.20%,21.20%,Black Alone
Mississippi,2018,22.50%,22.00%,Black Alone
Mississippi,2017,26.10%,17.70%,Black Alone
Mississippi,2016,22.90%,18.50%,Black Alone
Mississippi,2015,20.70%,17.40%,Black Alone
Missouri,2022,12.70%,22.80%,Black Alone
Missouri,2021,13.40%,22.20%,Black Alone
Missouri,2020,11.30%,20.30%,Black Alone
Missouri,2019,11.40%,19.60%,Black Alone
Missouri,2018,11.30%,20.40%,Black Alone
Missouri,2017,12.00%,18.10%,Black Alone
Missouri,2016,10.10%,19.30%,Black Alone
Missouri,2015,10.40%,17.50%,Black Alone
Montana,2022,18.60%,24.80%,Black Alone
Montana,2021,18.80%,23.00%,Black Alone
Montana,2020,16.20%,21.50%,Black Alone
Montana,2019,16.50%,22.00%,Black Alone
Montana,2018,16.40%,20.50%,Black Alone
Montana,2017,14.70%,19.30%,Black Alone
Montana,2016,15.40%,20.60%,Black Alone
Montana,2015,14.80%,19.00%,Black Alone
Nebraska,2022,42.40%,52.30%,Black Alone
Nebraska,2021,13.20%,27.10%,Black Alone
Nebraska,2020,27.50%,38.30%,Black Alone
Nebraska,2019,30.10%,73.00%,Black Alone
Nebraska,2018,25.50%,58.10%,Black Alone
Nebraska,2017,20.30%,13.50%,Black Alone
Nebraska,2016,22.60%,42.00%,Black Alone
Nebraska,2015,32.90%,32.50%,Black Alone
Nevada,2022,19.70%,19.90%,Black Alone
Nevada,2021,21.00%,25.60%,Black Alone
Nevada,2020,19.90%,22.00%,Black Alone
Nevada,2019,23.50%,19.80%,Black Alone
Nevada,2018,22.10%,21.70%,Black Alone
Nevada,2017,17.10%,18.80%,Black Alone
Nevada,2016,20.80%,25.80%,Black Alone
Nevada,2015,20.60%,23.70%,Black Alone
New Hampshire,2022,17.30%,22.80%,Black Alone
New Hampshire,2021,21.80%,24.30%,Black Alone
New Hampshire,2020,17.20%,20.90%,Black Alone
New Hampshire,2019,14.90%,21.20%,Black Alone
New Hampshire,2018,17.60%,16.00%,Black Alone
New Hampshire,2017,15.60%,21.30%,Black Alone
New Hampshire,2016,16.90%,20.10%,Black Alone
New Hampshire,2015,14.30%,19.10%,Black Alone
New Jersey,2022,36.10%,32.80%,Black Alone
New Jersey,2021,21.70%,27.00%,Black Alone
New Jersey,2020,24.20%,28.30%,Black Alone
New Jersey,2019,37.60%,36.00%,Black Alone
New Jersey,2018,24.50%,18.00%,Black Alone
New Jersey,2017,20.20%,35.20%,Black Alone
New Jersey,2016,28.50%,30.60%,Black Alone
New Jersey,2015,24.70%,15.80%,Black Alone
New Mexico,2022,25.80%,31.60%,Black Alone
New Mexico,2021,26.20%,30.90%,Black Alone
New Mexico,2020,22.10%,27.80%,Black Alone
New Mexico,2019,22.40%,27.80%,Black Alone
New Mexico,2018,22.50%,28.20%,Black Alone
New Mexico,2017,22.30%,26.70%,Black Alone
New Mexico,2016,20.90%,25.50%,Black Alone
New Mexico,2015,19.40%,23.80%,Black Alone
New York,2022,30.70%,35.70%,Black Alone
New York,2021,20.90%,34.10%,Black Alone
New York,2020,28.70%,33.00%,Black Alone
New York,2019,23.80%,33.60%,Black Alone
New York,2018,17.90%,24.90%,Black Alone
New York,2017,22.20%,22.90%,Black Alone
New York,2016,28.50%,28.80%,Black Alone
New York,2015,24.90%,41.80%,Black Alone
North Carolina,2022,23.80%,30.40%,Black Alone
North Carolina,2021,24.40%,30.20%,Black Alone
North Carolina,2020,21.40%,27.80%,Black Alone
North Carolina,2019,20.80%,27.50%,Black Alone
North Carolina,2018,21.20%,27.00%,Black Alone
North Carolina,2017,20.70%,26.50%,Black Alone
North Carolina,2016,20.00%,26.30%,Black Alone
North Carolina,2015,20.40%,25.60%,Black Alone
North Dakota,2022,20.90%,29.50%,Black Alone
North Dakota,2021,20.60%,28.00%,Black Alone
North Dakota,2020,17.80%,25.40%,Black Alone
North Dakota,2019,18.30%,25.70%,Black Alone
North Dakota,2018,17.10%,25.50%,Black Alone
North Dakota,2017,17.00%,24.60%,Black Alone
North Dakota,2016,16.80%,23.10%,Black Alone
North Dakota,2015,16.00%,22.30%,Black Alone
Ohio,2022,22.40%,21.90%,Black Alone
Ohio,2021,21.80%,25.10%,Black Alone
Ohio,2020,24.40%,20.10%,Black Alone
Ohio,2019,18.50%,25.50%,Black Alone
Ohio,2018,25.70%,14.80%,Black Alone
Ohio,2017,27.00%,22.70%,Black Alone
Ohio,2016,7.20%,13.40%,Black Alone
Ohio,2015,34.40%,35.00%,Black Alone
Oklahoma,2022,16.80%,24.60%,Black Alone
Oklahoma,2021,16.60%,21.40%,Black Alone
Oklahoma,2020,16.30%,19.60%,Black Alone
Oklahoma,2019,15.30%,19.30%,Black Alone
Oklahoma,2018,16.80%,18.40%,Black Alone
Oklahoma,2017,15.10%,18.20%,Black Alone
Oklahoma,2016,14.90%,17.40%,Black Alone
Oklahoma,2015,14.90%,17.70%,Black Alone
Oregon,2022,20.10%,25.00%,Black Alone
Oregon,2021,20.70%,25.40%,Black Alone
Oregon,2020,19.30%,22.70%,Black Alone
Oregon,2019,17.70%,21.70%,Black Alone
Oregon,2018,16.70%,21.40%,Black Alone
Oregon,2017,18.80%,20.70%,Black Alone
Oregon,2016,17.80%,20.60%,Black Alone
Oregon,2015,16.10%,20.40%,Black Alone
Pennsylvania,2022,33.40%,42.10%,Black Alone
Pennsylvania,2021,29.30%,32.80%,Black Alone
Pennsylvania,2020,28.20%,26.90%,Black Alone
Pennsylvania,2019,31.00%,29.80%,Black Alone
Pennsylvania,2018,26.80%,25.40%,Black Alone
Pennsylvania,2017,25.70%,32.90%,Black Alone
Pennsylvania,2016,23.00%,19.90%,Black Alone
Pennsylvania,2015,31.60%,25.20%,Black Alone
Rhode Island,2022,18.90%,25.70%,Black Alone
Rhode Island,2021,19.10%,24.40%,Black Alone
Rhode Island,2020,17.80%,22.30%,Black Alone
Rhode Island,2019,18.20%,21.90%,Black Alone
Rhode Island,2018,17.30%,21.40%,Black Alone
Rhode Island,2017,17.30%,21.00%,Black Alone
Rhode Island,2016,17.30%,21.50%,Black Alone
Rhode Island,2015,14.20%,19.50%,Black Alone
South Carolina,2022,22.50%,24.60%,Black Alone
South Carolina,2021,20.50%,24.70%,Black Alone
South Carolina,2020,24.00%,23.70%,Black Alone
South Carolina,2019,22.20%,24.60%,Black Alone
South Carolina,2018,21.50%,19.90%,Black Alone
South Carolina,2017,24.40%,18.80%,Black Alone
South Carolina,2016,21.40%,20.40%,Black Alone
South Carolina,2015,17.70%,20.60%,Black Alone
South Dakota,2022,14.50%,22.20%,Black Alone
South Dakota,2021,17.00%,23.80%,Black Alone
South Dakota,2020,13.00%,19.60%,Black Alone
South Dakota,2019,14.20%,20.10%,Black Alone
South Dakota,2018,12.30%,17.70%,Black Alone
South Dakota,2017,11.00%,17.90%,Black Alone
South Dakota,2016,12.50%,18.30%,Black Alone
South Dakota,2015,11.30%,17.60%,Black Alone
Tennessee,2022,13.50%,32.70%,Black Alone
Tennessee,2021,17.70%,20.60%,Black Alone
Tennessee,2020,19.10%,19.90%,Black Alone
Tennessee,2019,17.70%,20.80%,Black Alone
Tennessee,2018,15.50%,6.00%,Black Alone
Tennessee,2017,12.30%,16.20%,Black Alone
Tennessee,2016,18.60%,13.50%,Black Alone
Tennessee,2015,16.70%,15.90%,Black Alone
Texas,2022,19.90%,26.20%,Black Alone
Texas,2021,18.20%,25.50%,Black Alone
Texas,2020,17.20%,24.40%,Black Alone
Texas,2019,17.00%,25.60%,Black Alone
Texas,2018,17.50%,22.70%,Black Alone
Texas,2017,15.40%,24.00%,Black Alone
Texas,2016,15.70%,22.60%,Black Alone
Texas,2015,15.30%,21.00%,Black Alone
Utah,2022,25.60%,32.00%,Black Alone
Utah,2021,25.80%,31.30%,Black Alone
Utah,2020,22.80%,28.10%,Black Alone
Utah,2019,23.60%,27.50%,Black Alone
Utah,2018,22.80%,27.00%,Black Alone
Utah,2017,20.90%,27.20%,Black Alone
Utah,2016,20.70%,25.20%,Black Alone
Utah,2015,20.10%,24.40%,Black Alone
Vermont,2022,29.70%,28.20%,Black Alone
Vermont,2021,31.10%,26.40%,Black Alone
Vermont,2020,25.00%,20.40%,Black Alone
Vermont,2019,17.60%,17.30%,Black Alone
Vermont,2018,17.90%,20.50%,Black Alone
Vermont,2017,32.80%,30.40%,Black Alone
Vermont,2016,22.20%,22.60%,Black Alone
Vermont,2015,29.50%,20.10%,Black Alone
Virginia,2022,34.00%,37.60%,Black Alone
Virginia,2021,38.30%,31.00%,Black Alone
Virginia,2020,30.20%,40.30%,Black Alone
Virginia,2019,21.20%,37.20%,Black Alone
Virginia,2018,38.20%,42.90%,Black Alone
Virginia,2017,39.70%,31.70%,Black Alone
Virginia,2016,32.10%,15.40%,Black Alone
Virginia,2015,46.60%,27.10%,Black Alone
Washington,2022,25.90%,30.90%,Black Alone
Washington,2021,24.90%,30.00%,Black Alone
Washington,2020,22.30%,27.50%,Black Alone
Washington,2019,21.50%,28.40%,Black Alone
Washington,2018,21.20%,26.50%,Black Alone
Washington,2017,22.40%,26.80%,Black Alone
Washington,2016,20.90%,25.40%,Black Alone
Washington,2015,20.90%,24.50%,Black Alone
West Virginia,2022,26.80%,28.60%,Black Alone
West Virginia,2021,25.30%,29.40%,Black Alone
West Virginia,2020,26.70%,27.10%,Black Alone
West Virginia,2019,23.90%,26.40%,Black Alone
West Virginia,2018,27.60%,25.80%,Black Alone
West Virginia,2017,26.60%,24.80%,Black Alone
West Virginia,2016,25.40%,24.90%,Black Alone
West Virginia,2015,23.30%,23.10%,Black Alone
Wisconsin,2022,15.30%,21.40%,Black Alone
Wisconsin,2021,14.00%,17.40%,Black Alone
Wisconsin,2020,14.80%,19.80%,Black Alone
Wisconsin,2019,11.20%,17.20%,Black Alone
Wisconsin,2018,9.70%,21.60%,Black Alone
Wisconsin,2017,15.80%,15.00%,Black Alone
Wisconsin,2016,16.00%,22.70%,Black Alone
Wisconsin,2015,11.20%,13.80%,Black Alone
Wyoming,2022,13.20%,17.30%,Black Alone
Wyoming,2021,15.10%,17.90%,Black Alone
Wyoming,2020,12.20%,17.40%,Black Alone
Wyoming,2019,12.10%,18.10%,Black Alone
Wyoming,2018,11.80%,16.70%,Black Alone
Wyoming,2017,10.90%,17.50%,Black Alone
Wyoming,2016,11.80%,18.00%,Black Alone
Wyoming,2015,10.70%,15.90%,Black Alone
Puerto Rico,2022,47.10%,40.80%,Black Alone
Puerto Rico,2021,N,N,Black Alone
Puerto Rico,2020,38.20%,23.30%,Black Alone
Puerto Rico,2019,64.20%,7.60%,Black Alone
Puerto Rico,2018,28.20%,25.70%,Black Alone
Puerto Rico,2017,N,N,Black Alone
Puerto Rico,2016,N,N,Black Alone
Puerto Rico,2015,20.20%,13.50%,Black Alone
Alabama,2022,16.10%,22.10%,American Indian or Alaska Native Alone
Alabama,2021,19.10%,19.80%,American Indian or Alaska Native Alone
Alabama,2020,15.70%,19.80%,American Indian or Alaska Native Alone
Alabama,2019,10.90%,26.70%,American Indian or Alaska Native Alone
Alabama,2018,18.50%,26.60%,American Indian or Alaska Native Alone
Alabama,2017,10.30%,19.30%,American Indian or Alaska Native Alone
Alabama,2016,19.60%,18.20%,American Indian or Alaska Native Alone
Alabama,2015,17.50%,20.70%,American Indian or Alaska Native Alone
Alaska,2022,5.00%,9.70%,American Indian or Alaska Native Alone
Alaska,2021,4.00%,13.60%,American Indian or Alaska Native Alone
Alaska,2020,5.90%,8.90%,American Indian or Alaska Native Alone
Alaska,2019,7.00%,10.80%,American Indian or Alaska Native Alone
Alaska,2018,4.70%,10.40%,American Indian or Alaska Native Alone
Alaska,2017,6.70%,9.20%,American Indian or Alaska Native Alone
Alaska,2016,6.30%,7.80%,American Indian or Alaska Native Alone
Alaska,2015,5.30%,8.90%,American Indian or Alaska Native Alone
Arizona,2022,11.30%,17.30%,American Indian or Alaska Native Alone
Arizona,2021,8.00%,13.90%,American Indian or Alaska Native Alone
Arizona,2020,9.00%,12.50%,American Indian or Alaska Native Alone
Arizona,2019,9.20%,13.00%,American Indian or Alaska Native Alone
Arizona,2018,7.40%,12.80%,American Indian or Alaska Native Alone
Arizona,2017,7.80%,11.40%,American Indian or Alaska Native Alone
Arizona,2016,8.90%,12.00%,American Indian or Alaska Native Alone
Arizona,2015,9.30%,10.50%,American Indian or Alaska Native Alone
Arkansas,2022,20.50%,10.30%,American Indian or Alaska Native Alone
Arkansas,2021,22.00%,27.60%,American Indian or Alaska Native Alone
Arkansas,2020,17.40%,12.40%,American Indian or Alaska Native Alone
Arkansas,2019,13.20%,16.70%,American Indian or Alaska Native Alone
Arkansas,2018,21.90%,9.30%,American Indian or Alaska Native Alone
Arkansas,2017,9.90%,15.30%,American Indian or Alaska Native Alone
Arkansas,2016,21.60%,16.60%,American Indian or Alaska Native Alone
Arkansas,2015,20.10%,12.10%,American Indian or Alaska Native Alone
California,2022,15.40%,20.70%,American Indian or Alaska Native Alone
California,2021,15.40%,18.10%,American Indian or Alaska Native Alone
California,2020,13.60%,16.70%,American Indian or Alaska Native Alone
California,2019,15.00%,18.50%,American Indian or Alaska Native Alone
California,2018,14.30%,16.50%,American Indian or Alaska Native Alone
California,2017,12.50%,14.90%,American Indian or Alaska Native Alone
California,2016,13.60%,14.00%,American Indian or Alaska Native Alone
California,2015,14.20%,14.70%,American Indian or Alaska Native Alone
Colorado,2022,23.30%,21.90%,American Indian or Alaska Native Alone
Colorado,2021,15.70%,22.40%,American Indian or Alaska Native Alone
Colorado,2020,16.80%,22.80%,American Indian or Alaska Native Alone
Colorado,2019,20.00%,24.00%,American Indian or Alaska Native Alone
Colorado,2018,15.20%,22.90%,American Indian or Alaska Native Alone
Colorado,2017,13.20%,22.20%,American Indian or Alaska Native Alone
Colorado,2016,16.70%,19.20%,American Indian or Alaska Native Alone
Colorado,2015,14.70%,11.60%,American Indian or Alaska Native Alone
Connecticut,2022,7.60%,21.50%,American Indian or Alaska Native Alone
Connecticut,2021,31.10%,23.70%,American Indian or Alaska Native Alone
Connecticut,2020,18.00%,19.50%,American Indian or Alaska Native Alone
Connecticut,2019,15.00%,33.70%,American Indian or Alaska Native Alone
Connecticut,2018,17.70%,14.10%,American Indian or Alaska Native Alone
Connecticut,2017,26.60%,23.70%,American Indian or Alaska Native Alone
Connecticut,2016,8.80%,25.40%,American Indian or Alaska Native Alone
Connecticut,2015,13.90%,11.60%,American Indian or Alaska Native Alone
Delaware,2022,12.50%,8.90%,American Indian or Alaska Native Alone
Delaware,2021,N,N,American Indian or Alaska Native Alone
Delaware,2020,20.20%,16.10%,American Indian or Alaska Native Alone
Delaware,2019,22.40%,3.70%,American Indian or Alaska Native Alone
Delaware,2018,26.30%,12.50%,American Indian or Alaska Native Alone
Delaware,2017,16.50%,17.40%,American Indian or Alaska Native Alone
Delaware,2016,24.00%,9.30%,American Indian or Alaska Native Alone
Delaware,2015,20.90%,30.20%,American Indian or Alaska Native Alone
Florida,2022,N,N,American Indian or Alaska Native Alone
Florida,2021,N,N,American Indian or Alaska Native Alone
Florida,2020,50.00%,20.00%,American Indian or Alaska Native Alone
Florida,2019,N,N,American Indian or Alaska Native Alone
Florida,2018,N,N,American Indian or Alaska Native Alone
Florida,2017,N,N,American Indian or Alaska Native Alone
Florida,2016,N,N,American Indian or Alaska Native Alone
Florida,2015,N,N,American Indian or Alaska Native Alone
Georgia,2022,15.30%,20.50%,American Indian or Alaska Native Alone
Georgia,2021,23.30%,22.30%,American Indian or Alaska Native Alone
Georgia,2020,21.40%,22.00%,American Indian or Alaska Native Alone
Georgia,2019,23.40%,24.40%,American Indian or Alaska Native Alone
Georgia,2018,23.30%,19.90%,American Indian or Alaska Native Alone
Georgia,2017,20.80%,20.70%,American Indian or Alaska Native Alone
Georgia,2016,15.70%,19.40%,American Indian or Alaska Native Alone
Georgia,2015,20.90%,23.90%,American Indian or Alaska Native Alone
Hawaii,2022,9.50%,18.50%,American Indian or Alaska Native Alone
Hawaii,2021,18.50%,17.10%,American Indian or Alaska Native Alone
Hawaii,2020,16.00%,20.70%,American Indian or Alaska Native Alone
Hawaii,2019,15.80%,11.10%,American Indian or Alaska Native Alone
Hawaii,2018,16.80%,20.30%,American Indian or Alaska Native Alone
Hawaii,2017,17.00%,27.60%,American Indian or Alaska Native Alone
Hawaii,2016,15.00%,14.00%,American Indian or Alaska Native Alone
Hawaii,2015,20.40%,24.70%,American Indian or Alaska Native Alone
Idaho,2022,21.70%,37.60%,American Indian or Alaska Native Alone
Idaho,2021,22.30%,26.60%,American Indian or Alaska Native Alone
Idaho,2020,26.30%,36.70%,American Indian or Alaska Native Alone
Idaho,2019,9.90%,42.20%,American Indian or Alaska Native Alone
Idaho,2018,35.40%,58.50%,American Indian or Alaska Native Alone
Idaho,2017,36.30%,16.10%,American Indian or Alaska Native Alone
Idaho,2016,28.30%,35.60%,American Indian or Alaska Native Alone
Idaho,2015,10.40%,38.10%,American Indian or Alaska Native Alone
Illinois,2022,12.70%,16.10%,American Indian or Alaska Native Alone
Illinois,2021,10.20%,28.30%,American Indian or Alaska Native Alone
Illinois,2020,11.70%,14.80%,American Indian or Alaska Native Alone
Illinois,2019,11.30%,27.70%,American Indian or Alaska Native Alone
Illinois,2018,7.60%,16.10%,American Indian or Alaska Native Alone
Illinois,2017,10.20%,8.00%,American Indian or Alaska Native Alone
Illinois,2016,14.20%,16.70%,American Indian or Alaska Native Alone
Illinois,2015,3.40%,16.90%,American Indian or Alaska Native Alone
Indiana,2022,16.90%,21.90%,American Indian or Alaska Native Alone
Indiana,2021,14.80%,17.40%,American Indian or Alaska Native Alone
Indiana,2020,19.80%,23.60%,American Indian or Alaska Native Alone
Indiana,2019,24.20%,23.10%,American Indian or Alaska Native Alone
Indiana,2018,13.60%,25.90%,American Indian or Alaska Native Alone
Indiana,2017,20.40%,22.50%,American Indian or Alaska Native Alone
Indiana,2016,21.80%,16.50%,American Indian or Alaska Native Alone
Indiana,2015,12.40%,19.20%,American Indian or Alaska Native Alone
Iowa,2022,21.10%,24.60%,American Indian or Alaska Native Alone
Iowa,2021,14.90%,14.60%,American Indian or Alaska Native Alone
Iowa,2020,15.70%,18.30%,American Indian or Alaska Native Alone
Iowa,2019,14.50%,8.30%,American Indian or Alaska Native Alone
Iowa,2018,20.50%,28.10%,American Indian or Alaska Native Alone
Iowa,2017,12.50%,11.80%,American Indian or Alaska Native Alone
Iowa,2016,17.80%,17.90%,American Indian or Alaska Native Alone
Iowa,2015,16.60%,19.60%,American Indian or Alaska Native Alone
Kansas,2022,12.20%,12.40%,American Indian or Alaska Native Alone
Kansas,2021,15.00%,20.50%,American Indian or Alaska Native Alone
Kansas,2020,14.30%,19.00%,American Indian or Alaska Native Alone
Kansas,2019,5.60%,11.30%,American Indian or Alaska Native Alone
Kansas,2018,12.60%,18.80%,American Indian or Alaska Native Alone
Kansas,2017,19.00%,6.50%,American Indian or Alaska Native Alone
Kansas,2016,21.00%,29.60%,American Indian or Alaska Native Alone
Kansas,2015,12.90%,13.70%,American Indian or Alaska Native Alone
Kentucky,2022,11.40%,20.60%,American Indian or Alaska Native Alone
Kentucky,2021,12.60%,22.70%,American Indian or Alaska Native Alone
Kentucky,2020,18.90%,18.60%,American Indian or Alaska Native Alone
Kentucky,2019,18.00%,11.70%,American Indian or Alaska Native Alone
Kentucky,2018,14.60%,20.80%,American Indian or Alaska Native Alone
Kentucky,2017,17.10%,23.00%,American Indian or Alaska Native Alone
Kentucky,2016,15.70%,20.50%,American Indian or Alaska Native Alone
Kentucky,2015,17.20%,20.70%,American Indian or Alaska Native Alone
Louisiana,2022,14.20%,17.10%,American Indian or Alaska Native Alone
Louisiana,2021,12.90%,10.20%,American Indian or Alaska Native Alone
Louisiana,2020,15.40%,13.00%,American Indian or Alaska Native Alone
Louisiana,2019,23.20%,10.90%,American Indian or Alaska Native Alone
Louisiana,2018,12.00%,15.40%,American Indian or Alaska Native Alone
Louisiana,2017,8.10%,19.60%,American Indian or Alaska Native Alone
Louisiana,2016,14.70%,8.60%,American Indian or Alaska Native Alone
Louisiana,2015,15.30%,12.60%,American Indian or Alaska Native Alone
Maine,2022,5.70%,16.80%,American Indian or Alaska Native Alone
Maine,2021,7.20%,21.80%,American Indian or Alaska Native Alone
Maine,2020,12.50%,14.90%,American Indian or Alaska Native Alone
Maine,2019,17.10%,16.10%,American Indian or Alaska Native Alone
Maine,2018,13.40%,9.00%,American Indian or Alaska Native Alone
Maine,2017,7.60%,15.90%,American Indian or Alaska Native Alone
Maine,2016,9.70%,8.10%,American Indian or Alaska Native Alone
Maine,2015,10.50%,13.60%,American Indian or Alaska Native Alone
Maryland,2022,20.40%,20.10%,American Indian or Alaska Native Alone
Maryland,2021,7.50%,23.20%,American Indian or Alaska Native Alone
Maryland,2020,16.00%,18.90%,American Indian or Alaska Native Alone
Maryland,2019,25.80%,23.40%,American Indian or Alaska Native Alone
Maryland,2018,10.00%,24.90%,American Indian or Alaska Native Alone
Maryland,2017,16.70%,13.20%,American Indian or Alaska Native Alone
Maryland,2016,5.20%,12.50%,American Indian or Alaska Native Alone
Maryland,2015,15.50%,19.30%,American Indian or Alaska Native Alone
Massachusetts,2022,21.10%,30.20%,American Indian or Alaska Native Alone
Massachusetts,2021,17.60%,22.40%,American Indian or Alaska Native Alone
